cell_type1	dataset
Fetal Proliferating cDC2_pool1	Fetal Proliferating cDC2	Fetal
Fetal Proliferating distal renal vesicle_pool1	Fetal Proliferating distal renal vesicle	Fetal
Fetal Proliferating distal renal vesicle_pool2	Fetal Proliferating distal renal vesicle	Fetal
Fetal Proliferating distal renal vesicle_pool3	Fetal Proliferating distal renal vesicle	Fetal
Fetal Proliferating distal renal vesicle_pool4	Fetal Proliferating distal renal vesicle	Fetal
Fetal Proliferating distal renal vesicle_pool5	Fetal Proliferating distal renal vesicle	Fetal
Fetal Proliferating distal renal vesicle_pool6	Fetal Proliferating distal renal vesicle	Fetal
Fetal Proliferating macrophage_pool1	Fetal Proliferating macrophage	Fetal
Fetal Proliferating macrophage_pool2	Fetal Proliferating macrophage	Fetal
Fetal Proliferating monocyte_pool1	Fetal Proliferating monocyte	Fetal
Fetal Proliferating myofibroblast_pool1	Fetal Proliferating myofibroblast	Fetal
Fetal Proliferating myofibroblast_pool2	Fetal Proliferating myofibroblast	Fetal
Fetal Proliferating myofibroblast_pool3	Fetal Proliferating myofibroblast	Fetal
Fetal Proliferating stroma progenitor_pool1	Fetal Proliferating stroma progenitor	Fetal
Fetal Proliferating stroma progenitor_pool2	Fetal Proliferating stroma progenitor	Fetal
Fetal Proliferating stroma progenitor_pool3	Fetal Proliferating stroma progenitor	Fetal
Fetal Proliferating stroma progenitor_pool4	Fetal Proliferating stroma progenitor	Fetal
Fetal Proliferating stroma progenitor_pool5	Fetal Proliferating stroma progenitor	Fetal
Fetal Proximal renal vesicle_pool1	Fetal Proximal renal vesicle	Fetal
Fetal Proximal renal vesicle_pool2	Fetal Proximal renal vesicle	Fetal
Fetal Proximal S shaped body_pool1	Fetal Proximal S shaped body	Fetal
Fetal Proximal S shaped body_pool2	Fetal Proximal S shaped body	Fetal
Fetal Proximal S shaped body_pool3	Fetal Proximal S shaped body	Fetal
Fetal Proximal S shaped body_pool4	Fetal Proximal S shaped body	Fetal
Fetal Proximal S shaped body_pool5	Fetal Proximal S shaped body	Fetal
Fetal Proximal tubule_pool1	Fetal Proximal tubule	Fetal
Fetal Proximal tubule_pool2	Fetal Proximal tubule	Fetal
Fetal Proximal tubule_pool3	Fetal Proximal tubule	Fetal
Fetal Proximal tubule_pool4	Fetal Proximal tubule	Fetal
Fetal Proximal tubule_pool5	Fetal Proximal tubule	Fetal
Fetal Proximal UB_pool1	Fetal Proximal UB	Fetal
Fetal Proximal UB_pool2	Fetal Proximal UB	Fetal
Fetal Proximal UB_pool3	Fetal Proximal UB	Fetal
Fetal Stroma progenitor_pool1	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool2	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool3	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool4	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool5	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool6	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool7	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool8	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool9	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool10	Fetal Stroma progenitor	Fetal
Fetal Stroma progenitor_pool11	Fetal Stroma progenitor	Fetal
